Player,TEAM,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG,,TEAM,GP,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG
MICHAEL PODOLLA,EB,70,22,3,10,19,3,0,0,5,0.314,0.360,0.357,0.717,0,,,,,,,,,,,,,,,,,
ZACK KANE,FL,51,16,8,8,13,3,0,0,3,0.314,0.352,0.373,0.724,2,,,,,,,,,,,,,,,,,
FRANK ERMEL,SD,80,25,6,14,21,3,1,0,0,0.313,0.313,0.375,0.688,0,,,,,,,,,,,,,,,,,
BRAD RANDELL,JB,61,19,7,8,19,0,0,0,2,0.311,0.333,0.311,0.645,4,,,,,,,,,,,,,,,,,
PAT CIAGLIA,TC,58,18,7,5,18,0,0,0,4,0.310,0.355,0.310,0.665,3,,,,,,,,,,,,,,,,,
PAUL OCONNOR,TW,71,22,2,11,21,0,1,0,3,0.310,0.338,0.338,0.676,1,,,,,,,,,,,,,,,,,
REID GOLDFARB,AG,81,25,19,7,22,1,2,0,6,0.309,0.356,0.370,0.727,0,,,,,,,,,,,,,,,,,
JEFF ARNOLD,MC,63,19,5,11,19,0,0,0,9,0.302,0.389,0.302,0.690,2,,,,,,,,,,,,,,,,,
ANDREW PARKER,TC,63,19,6,5,18,0,1,0,0,0.302,0.302,0.333,0.635,3,,,,,,,,,,,,,,,,,
VINCENT SOLANO SR,GM,60,18,9,5,17,1,0,0,1,0.300,0.311,0.317,0.628,4,,,,,,,,,,,,,,,,,
ANDY KESSLER,BK,64,19,10,7,18,1,0,0,5,0.297,0.348,0.313,0.660,3,,,,,,,,,,,,,,,,,
SHYAMAL JOSHI,EB,17,5,1,2,5,0,0,0,0,0.294,0.294,0.294,0.588,0,,,,,,,,,,,,,,,,,
GARY KLEIN,MC,65,19,7,12,19,0,0,0,5,0.292,0.343,0.292,0.635,2,,,,,,,,,,,,,,,,,
RICH HARTLEY,AG,76,22,11,7,21,1,0,0,2,0.289,0.308,0.303,0.610,2,,,,,,,,,,,,,,,,,
BRUCE COTTER,DM,76,22,10,12,18,1,3,0,4,0.289,0.325,0.382,0.707,0,,,,,,,,,,,,,,,,,
KENNY KUCHMA,MC,14,4,3,5,4,0,0,0,3,0.286,0.412,0.286,0.697,4,,,,,,,,,,,,,,,,,
JORDAN KRANT,SD,74,21,12,10,19,1,0,1,3,0.284,0.312,0.338,0.650,2,,,,,,,,,,,,,,,,,
BRIAN WALKER,TC,67,19,12,9,16,0,1,2,1,0.284,0.294,0.403,0.697,2,,,,,,,,,,,,,,,,,
PAUL STEINBERG,MP,71,20,9,3,19,1,0,0,2,0.282,0.301,0.296,0.597,1,,,,,,,,,,,,,,,,,
ROBERT ROZENCWAIG,MP,58,16,3,7,15,1,0,0,2,0.276,0.300,0.293,0.593,5,,,,,,,,,,,,,,,,,
STEVEN FREY,EB,70,19,11,6,16,3,0,0,4,0.271,0.311,0.314,0.625,0,,,,,,,,,,,,,,,,,
LEWEY CANO,DM,48,13,11,2,13,0,0,0,3,0.271,0.314,0.271,0.585,5,,,,,,,,,,,,,,,,,
SHAWON DANSER,DP,63,17,7,5,15,2,0,0,2,0.270,0.292,0.302,0.594,2,,,,,,,,,,,,,,,,,
JOE OLIVENCIA,MP,63,17,5,6,15,2,0,0,3,0.270,0.303,0.302,0.605,3,,,,,,,,,,,,,,,,,
KEN FEINGOLD,JB,67,18,12,11,16,2,0,0,4,0.269,0.310,0.299,0.608,1,,,,,,,,,,,,,,,,,
DOMINICK DEFALCO,DM,68,18,9,11,16,1,1,0,7,0.265,0.333,0.309,0.642,0,,,,,,,,,,,,,,,,,
JUSTIN BICKOFF,JL,68,18,10,7,17,1,0,0,3,0.265,0.296,0.279,0.575,2,,,,,,,,,,,,,,,,,
DARREN WALD,EB,61,16,12,7,15,1,0,0,1,0.262,0.274,0.279,0.553,3,,,,,,,,,,,,,,,,,
JOSEPH BOMENBLIT,EB,65,17,7,8,16,0,1,0,6,0.262,0.324,0.292,0.616,3,,,,,,,,,,,,,,,,,
STEPHEN EPSTEIN,MC,66,17,7,8,14,2,0,0,3,0.258,0.290,0.273,0.563,2,,,,,,,,,,,,,,,,,
SUDIPTA RAY,PP,74,19,8,13,14,5,0,1,1,0.257,0.267,0.378,0.645,0,,,,,,,,,,,,,,,,,
DAVE KORNHAUSER,TW,47,12,3,2,11,1,0,0,2,0.255,0.286,0.277,0.562,3,,,,,,,,,,,,,,,,,
MIKE AMATO,GM,73,18,7,9,17,0,1,0,2,0.247,0.267,0.274,0.541,1,,,,,,,,,,,,,,,,,
MARK KARP,DP,65,16,6,1,16,0,0,0,1,0.246,0.258,0.246,0.504,2,,,,,,,,,,,,,,,,,
RALPH D'AMATO,EB,29,7,2,1,7,0,0,0,4,0.241,0.333,0.241,0.575,2,,,,,,,,,,,,,,,,,
BOBBY FREY,EB,21,5,5,1,5,0,0,0,0,0.238,0.238,0.238,0.476,3,,,,,,,,,,,,,,,,,
WILLIAM FERRO,BK,67,15,4,6,13,1,1,0,2,0.224,0.246,0.269,0.515,3,,,,,,,,,,,,,,,,,
PATRICK FERRO,BK,71,15,11,1,12,3,0,0,5,0.211,0.263,0.254,0.517,2,,,,,,,,,,,,,,,,,
LOUIS BUFFUTO,DP,62,13,5,5,12,1,0,0,2,0.210,0.234,0.226,0.460,3,,,,,,,,,,,,,,,,,
ROB SAGLIETTO,ER,62,13,6,5,12,1,0,0,2,0.210,0.234,0.226,0.460,4,,,,,,,,,,,,,,,,,
JONATHAN OKUN,FL,65,13,11,6,11,2,0,0,5,0.200,0.257,0.231,0.488,1,,,,,,,,,,,,,,,,,
DAVID UNTERWEISER,SD,50,10,7,2,9,1,0,0,5,0.200,0.273,0.220,0.493,7,,,,,,,,,,,,,,,,,
DANIEL KESSLER,BK,62,12,4,6,11,1,0,0,1,0.194,0.206,0.210,0.416,5,,,,,,,,,,,,,,,,,
DAVID DRASHINSKY,SD,64,12,9,7,11,1,0,0,1,0.188,0.200,0.203,0.403,4,,,,,,,,,,,,,,,,,
RAYMOND PORZIO,TC,72,13,5,3,11,2,0,0,3,0.181,0.213,0.208,0.422,0,,,,,,,,,,,,,,,,,
PAUL KAMRAS,DP,64,11,7,4,11,0,0,0,3,0.172,0.209,0.172,0.381,2,,,,,,,,,,,,,,,,,
ALEX PUGLIESE,DM,60,10,2,8,9,1,0,0,1,0.167,0.180,0.183,0.364,3,,,,,,,,,,,,,,,,,
JERRY TILKER,MK,65,10,9,4,9,0,0,0,2,0.154,0.179,0.138,0.318,3,,,,,,,,,,,,,,,,,
LOGAN FAUCI,MG,74,11,6,2,11,0,0,0,3,0.149,0.182,0.149,0.330,0,,,,,,,,,,,,,,,,,
JAY PODOS,MC,61,9,6,2,9,0,0,0,2,0.148,0.175,0.148,0.322,4,,,,,,,,,,,,,,,,,
SCOTT SANDLER,TW,68,10,3,4,10,0,0,0,4,0.147,0.194,0.147,0.342,0,,,,,,,,,,,,,,,,,
MARK MAGARIELLO SR,TW,11,1,0,0,1,0,0,0,0,0.091,0.091,0.091,0.182,2,,,,,,,,,,,,,,,,,
TOM BALDINGER,FL,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,,,
Michael Sheridan,EB,2,0,0,0,0,0,0,0,1,0,0.333,0,0.333,0,,,,,,,,,,,,,,,,,
STEVEN WEISS,PP,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
