Player,TEAM,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG,,TEAM,GP,AB,Hits,Runs,RBI,1B,2B,3B,HR,BB,BA,OBP,SLG,OPS,MG
DAVE SILVERBERG,PP,71,38,24,28,28,6,2,2,2,0.535,0.548,0.761,1.309,0,,,,,,,,,,,,,,,,,
NOEL SANTIAGO,JL,77,41,28,23,28,8,3,2,8,0.532,0.576,0.792,1.369,1,,,,,,,,,,,,,,,,,
EDDIE FAUSAK,JL,94,50,31,24,47,3,0,0,0,0.532,0.532,0.564,1.096,0,,,,,,,,,,,,,,,,,
ANDY PARGAMENT,SD,94,50,27,31,46,4,0,0,1,0.532,0.537,0.574,1.111,0,,,,,,,,,,,,,,,,,
MATT WHELEN,AG,79,42,26,24,35,5,0,2,7,0.532,0.570,0.671,1.241,1,,,,,,,,,,,,,,,,,
ERIC BOMENBLIT,EB,79,42,26,24,28,8,2,4,7,0.532,0.570,0.835,1.405,0,,,,,,,,,,,,,,,,,
VINCE CAPUTO,DM,81,43,39,20,28,7,3,5,4,0.531,0.553,0.877,1.429,1,,,,,,,,,,,,,,,,,
CORY ROSENTHAL,MP,71,37,28,12,28,8,0,1,3,0.521,0.541,0.676,1.217,4,,,,,,,,,,,,,,,,,
DAN MANOCHIO SR,DP,73,38,18,17,34,3,0,1,4,0.521,0.545,0.603,1.148,0,,,,,,,,,,,,,,,,,
ANTHONY GALIANO,GM,50,26,15,11,20,3,2,1,1,0.520,0.529,0.720,1.249,6,,,,,,,,,,,,,,,,,
JEFFREY GOLDROSEN,TC,66,34,26,20,21,6,3,4,5,0.515,0.549,0.879,1.428,3,,,,,,,,,,,,,,,,,
EVAN ROSENTHAL,MP,76,39,25,26,28,4,3,4,4,0.513,0.538,0.803,1.340,3,,,,,,,,,,,,,,,,,
JEFF BEJA,AG,82,42,20,27,40,1,1,0,5,0.512,0.540,0.549,1.089,0,,,,,,,,,,,,,,,,,
JUSTIN RANDELL,JB,67,34,17,16,29,2,2,1,5,0.507,0.542,0.642,1.183,0,,,,,,,,,,,,,,,,,
ERIC ROSENSTOCK,ER,75,38,33,24,32,1,2,3,15,0.507,0.589,0.693,1.282,1,,,,,,,,,,,,,,,,,
NICK VILLANI,AG,85,43,35,26,27,9,2,5,5,0.506,0.533,0.835,1.369,1,,,,,,,,,,,,,,,,,
MAX ALLEGRETTI,ER,94,47,34,26,33,7,7,0,5,0.500,0.525,0.723,1.249,0,,,,,,,,,,,,,,,,,
STEVEN WALLENSTEIN,ER,72,36,16,13,33,1,1,0,6,0.500,0.538,0.528,1.066,2,,,,,,,,,,,,,,,,,
MATT GRANESE,JL,70,35,21,19,29,3,2,1,4,0.500,0.527,0.643,1.170,3,,,,,,,,,,,,,,,,,
NICK DELUISE,MC,72,36,25,24,23,4,6,3,15,0.500,0.586,0.847,1.433,0,,,,,,,,,,,,,,,,,
ANTHONY TURANO,MG,74,37,23,29,26,8,2,1,6,0.500,0.538,0.703,1.240,0,,,,,,,,,,,,,,,,,
KEVIN KLESCHINSKY,MK,86,43,19,20,34,8,1,0,4,0.500,0.522,0.616,1.139,0,,,,,,,,,,,,,,,,,
GREG DELUISE,MC,87,43,28,23,30,6,3,4,6,0.494,0.527,0.770,1.297,0,,,,,,,,,,,,,,,,,
ANTHONY FOSTER,PP,71,35,28,13,27,2,5,1,8,0.493,0.544,0.704,1.249,2,,,,,,,,,,,,,,,,,
ZACH SCHMIDT,JL,67,33,19,17,29,2,1,1,4,0.493,0.521,0.597,1.118,4,,,,,,,,,,,,,,,,,
MARK GODDARD,MG,84,41,22,18,35,3,3,0,3,0.488,0.506,0.595,1.101,0,,,,,,,,,,,,,,,,,
DANIEL MANOCHIO JR,DP,80,39,17,15,31,7,1,0,1,0.488,0.494,0.600,1.094,0,,,,,,,,,,,,,,,,,
CRAIG TEPPER,DM,70,34,14,16,28,4,2,0,2,0.486,0.500,0.600,1.100,1,,,,,,,,,,,,,,,,,
